page_url,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,locator_domain,hours_of_operation,raw_address
https://www.kiehls.pl/znajdz-sklep?lat=52.2297&long=21.0122,Kiehl's Złote Tarasy,Złota 59,Warszawa,Mazowieckie,00-120,PL,Missing,+48 510 998 357,Missing,52.230227,21.002677,kiehls.pl,"Pon - sob: 9:00 - 22:00
niedz.: 9:00 - 21:00","Złota 59, Warszawa"
https://www.kiehls.pl/znajdz-sklep?lat=52.2297&long=21.0122,Kiehl's Arkadia,Al. Jana Pawła II 82,Warszawa,Mazowieckie,00-175,PL,Missing,+48 22 351 95 67,Missing,52.257227,20.984565,kiehls.pl,"pon.-sob.: 10:00 - 22:00
niedz.: 10:00 - 21:00","Al. Jana Pawła II 82, Warszawa"
https://www.kiehls.pl/znajdz-sklep?lat=52.2297&long=21.0122,Kiehl's Galeria Mokotów,Wołoska 12,Warszawa,Mazowieckie,02-675,PL,Missing,+48 22 161 33 22,Missing,52.179859,21.004022,kiehls.pl,"pon.-sob.: 10:00 - 22:00
niedz.: 10:00 - 21:00","Wołoska 12, Warszawa"
https://www.kiehls.pl/znajdz-sklep?lat=50.0647&long=19.945,Kiehl's Galeria Krakowska,Pawia 5,Kraków,Małopolskie,31-154,PL,Missing,+48 510 998 356,Missing,50.067835,19.946466,kiehls.pl,"Pon - sob: 9:00 - 22:00
niedz.: 10:00 - 21:00","Pawia 5, Kraków"
https://www.kiehls.pl/znajdz-sklep?lat=50.0647&long=19.945,Kiehl's Bonarka,Kamieńskiego 11,Kraków,Małopolskie,30-644,PL,Missing,+48 510 998 358,Missing,50.147857,19.918051,kiehls.pl,"Pon - sob: 10:00 - 21:00
niedz.: 10:00 - 21:00","Kamieńskiego 11, Kraków"
https://www.kiehls.pl/znajdz-sklep?lat=51.1079&long=17.0385,Douglas Wroclavia,Sucha 1,Wrocław,Dolnośląskie,50-086,PL,Missing,Missing,Missing,51.097451,17.034024,kiehls.pl,Missing,"Sucha 1, Wrocław"
https://www.kiehls.pl/znajdz-sklep?lat=54.352&long=18.6466,Douglas Forum Gdańsk,Targ Sienny 7,Gdańsk,Pomorskie,80-806,PL,Missing,Missing,Missing,54.350094,18.642208,kiehls.pl,Missing,"Targ Sienny 7, Gdańsk"
https://www.kiehls.pl/znajdz-sklep?lat=53.4285&long=14.5528,Douglas Kaskada,Aleja Niepodległości 36,Szczecin,Zachodniopomorskie,70-404,PL,Missing,Missing,Missing,53.427555,14.551368,kiehls.pl,Missing,"Aleja Niepodległości 36, Szczecin"
https://www.kiehls.sk/predajne?lat=48.1486&long=17.1077,Kiehl's Aupark,Einsteinova 3541/18,Bratislava,Slovensko,851 01,SK,Missing,+421 232 609 694,Missing,48.133028,17.107499,kiehls.sk,Missing,"Einsteinova 3541/18, Bratislava"
https://www.kiehls.sk/predajne?lat=48.7167&long=21.25,Douglas Atrium Optima Košice,Moldavská cesta 32,Košice,Slovensko,040 11,SK,Missing,Missing,Missing,48.69687,21.237319,kiehls.sk,Missing,"Moldavská cesta 32, Košice"
https://www.kiehls.hu/%C3%BCzletek?lat=47.4979&long=19.0402,Kiehl's WestEnd City Center,Váci út 3,Budapest,Missing,1062,HU,Missing,+3612360222,Missing,47.513977,19.059215,kiehls.hu,Missing,"Váci út 3, Budapest"
https://www.kiehls.hu/%C3%BCzletek?lat=47.4979&long=19.0402,Kiehl's Allee Bevásárlóközpont,ZÁRVA,Budapest,Missing,1117,Missing,Missing,Missing,Missing,47.475255,19.049206,kiehls.hu,Missing,"ZÁRVA, Budapest"
https://www.kiehls.hr/pronadite-prodavaonicu?lat=45.815&long=15.9819,Kiehl's Centar Cvjetni,Kiehl's Centar Cvjetni,Zagreb,Missing,10000,Missing,Missing,091 6312 081,Missing,45.81226,15.97313,kiehls.hr,Missing,"Kiehl's Centar Cvjetni, Zagreb"
https://www.kiehls.hr/pronadite-prodavaonicu?lat=45.815&long=15.9819,"Kiehl's Arena Centar, Zagreb",Kiehl's Arena Centar,Zagreb,Grad Zagreb,10000,Missing,Missing,01 4952 100,Missing,45.7705,15.9401,kiehls.hr,Missing,"Kiehl's Arena Centar, Zagreb"
https://www.kiehls.hr/pronadite-prodavaonicu?lat=45.815&long=15.9819,"Kiehl's City Center one West, Zagreb",Kiehl' City Center one West,Zagreb,Missing,10000,Missing,Missing,01 4952 124,Missing,45.799,15.8849,kiehls.hr,Missing,"Kiehl' City Center one West, Zagreb"
